,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
10496,c_c012884,전남 순천시 남내동 125-1,0.0,4,0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,7.0,1.0,13;2;3;
10497,c_c012884,전남 담양군 담양읍 학동리 586-1,0.0,6,0,4.0,4.0,4.0,4.0,1.0,2.0,10.0,10.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,7.0,1.0,13;2;3;
10498,c_c012884,전남 순천시 승주읍 죽학리 802,0.0,2,0,3.0,3.0,3.0,3.0,1.0,2.0,10.0,10.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,7.0,1.0,13;2;3;
10499,c_c012884,전남 순천시 대대동 162-2,0.0,1,0,4.0,3.0,4.0,3.6667,1.0,2.0,10.0,10.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,7.0,1.0,13;2;3;
10500,c_c012884,전남 순천시 오천동 600,0.0,1,0,4.0,5.0,5.0,4.6667,1.0,2.0,10.0,10.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,7.0,1.0,13;2;3;
10501,c_c012885,전북 전주시 완산구 전동 200-1,0.0,2,1,5.0,5.0,5.0,5.0,4.0,3.0,8.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,6.0,6.0,12;22;24;3;6;
10502,c_c012885,전북 전주시 덕진구 송천동1가 234-5,0.0,13,0,5.0,5.0,5.0,5.0,4.0,3.0,8.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,6.0,6.0,12;22;24;3;6;
10503,c_c012885,전북 전주시 덕진구 송천동2가 1316,0.0,1,0,5.0,5.0,5.0,5.0,4.0,3.0,8.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,6.0,6.0,12;22;24;3;6;
10504,c_c012885,전북 임실군 임실읍 이도리 473,0.0,13,0,5.0,5.0,5.0,5.0,4.0,3.0,8.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,6.0,6.0,12;22;24;3;6;
10505,c_c012885,전북 임실군 성수면 도인리 689,0.0,6,0,5.0,5.0,5.0,5.0,4.0,3.0,8.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,6.0,6.0,12;22;24;3;6;
10506,c_c012885,전북 전주시 완산구 풍남동3가 102,0.0,2,1,5.0,5.0,5.0,5.0,4.0,3.0,8.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,6.0,6.0,12;22;24;3;6;
10507,c_c012887,전북 전주시 완산구 풍남동3가 64-1,0.0,7,0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,7.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,6.0,6.0,22;3;
10508,c_c012888,충남 아산시 영인면 월선리 346-2,0.0,1,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12;13;22;26;
10509,c_c012891,충남 아산시 영인면 월선리 346-2,0.0,1,0,5.0,4.0,4.0,4.3333,6.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,6.0,3;6;9;2;22;4;24;26;
10510,c_c012899,전남 담양군 담양읍 객사리,0.0,4,0,5.0,5.0,5.0,5.0,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,6.0,22;24;26;28;5;
10511,c_c012899,전남 담양군 담양읍 학동리 672,0.0,6,0,5.0,3.0,5.0,4.3333,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,6.0,22;24;26;28;5;
10512,c_c012899,전북 정읍시 내장동 산 231,0.0,1,0,5.0,4.0,5.0,4.6667,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,6.0,22;24;26;28;5;
10513,c_c012899,전남 담양군 담양읍 향교리 산 44,0.0,2,0,5.0,3.0,5.0,4.3333,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,6.0,22;24;26;28;5;
10514,c_c012913,전남 장성군 북하면 약수리 26,0.0,1,0,5.0,5.0,5.0,5.0,4.0,2.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28;
10515,c_c012915,충남 천안시 서북구 성성동,0.0,1,0,5.0,5.0,5.0,5.0,4.002279544091182,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21;
