,Unnamed: 0,TRAVEL_ID,VISIT_AREA_ID,GENDER,INCOME,TRAVEL_MISSION,REL_CD,LODGING_TYPE_CD,TRAVEL_MISSION_1,TRAVEL_MISSION_2,TRAVEL_MISSION_3,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,COMPANION_AGE_GRP,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,LOTNO_ADDR,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD
15370,16775,c_c011395,2210290002,0,3.0,4;,0.0,0.0,4,0.0,0.0,1.0,10.0,10.0,3.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,0,3.0,4.0,4.0,3.6667,전남 여수시 봉산동 210-2,11,127.7261127,347330226
15371,16776,c_c011395,2210290008,0,3.0,4;,0.0,0.0,4,0.0,0.0,1.0,10.0,10.0,3.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,0,3.0,3.0,3.0,3.0,전남 여수시 봉산동 274-4,4,127.7224287,3473214851
15372,16777,c_c011395,2210290004,0,3.0,4;,0.0,0.0,4,0.0,0.0,1.0,10.0,10.0,3.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,0,2.0,2.0,2.0,2.0,전남 여수시 고소동 268,7,127.7411828,3473903428
15373,16778,c_c011395,2210290005,0,3.0,4;,0.0,0.0,4,0.0,0.0,1.0,10.0,10.0,3.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,0,5.0,5.0,5.0,5.0,전남 여수시 고소동 50-20,11,127.7422668,3473814791
15374,16779,c_c011395,2210300001,0,3.0,4;,0.0,0.0,4,0.0,0.0,1.0,10.0,10.0,3.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,0,4.0,4.0,3.0,3.6667,전남 여수시 봉산동 248-3,11,127.7240641,3473537752
15375,16780,c_c011395,2210300003,0,3.0,4;,0.0,0.0,4,0.0,0.0,1.0,10.0,10.0,3.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,0,3.0,2.0,2.0,2.3333,전남 여수시 중앙동 432,4,127.7363512,347401741
15376,16781,c_c011395,2210290003,0,3.0,4;,0.0,0.0,4,0.0,0.0,1.0,10.0,10.0,3.0,6.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,0,4.0,3.0,3.0,3.3333,전남 여수시 만흥동 85-3,1,127.745476,3477885683
15377,16782,c_c011396,2210300004,0,2.0,13;2;23;4;9;,1.0,0.0,13,2.0,23.0,9.0,3.0,1.0,4.0,7.0,4.0,4.0,4.0,5.0,5.0,3.0,6.0,4.0,0,4.0,4.0,4.0,4.0,대전 중구 은행동 145-1,11,127.4272984,3632766877
15378,16783,c_c011396,2210290004,0,2.0,13;2;23;4;9;,1.0,0.0,13,2.0,23.0,9.0,3.0,1.0,4.0,7.0,4.0,4.0,4.0,5.0,5.0,3.0,6.0,4.0,0,3.0,3.0,3.0,3.0,대전 서구 탄방동 700,8,127.3874244,36347052
15379,16784,c_c011396,2210300002,0,2.0,13;2;23;4;9;,1.0,0.0,13,2.0,23.0,9.0,3.0,1.0,4.0,7.0,4.0,4.0,4.0,5.0,5.0,3.0,6.0,4.0,0,4.0,4.0,4.0,4.0,대전 유성구 도룡동 3-1,6,127.3880837,3637662906
15380,16785,c_c011400,2210300003,2,0.0,11;22;27;28;,8.0,0.0,11,22.0,27.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,3.0,3.0,3.0,3.0,전북 군산시 신흥동 15-162,7,126.7048176,3598680644
15381,16786,c_c011400,2210300002,2,0.0,11;22;27;28;,8.0,0.0,11,22.0,27.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,3.0,3.0,4.0,3.3333,전북 군산시 금광동 135-1,2,126.7074319,3598275549
15382,16787,c_c011400,2210300005,2,0.0,11;22;27;28;,8.0,0.0,11,22.0,27.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,4.0,4.0,4.0,4.0,전북 군산시 미원동 78,11,126.7139609,3597965477
15383,16788,c_c011400,2210300001,2,0.0,11;22;27;28;,8.0,0.0,11,22.0,27.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,3.0,3.0,3.0,3.0,전북 군산시 중앙로1가 12-2,11,126.7112634,3598720064
15384,16789,c_c011400,2210290003,2,0.0,11;22;27;28;,8.0,0.0,11,22.0,27.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,4.0,5.0,5.0,4.6667,전북 정읍시 내장동 산 231,1,126.9055158,3548586235
15385,16790,c_c011400,2210300006,2,0.0,11;22;27;28;,8.0,0.0,11,22.0,27.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,5.0,5.0,5.0,5.0,전남 담양군 담양읍 향교리 산 44,2,126.9859309,3532783715
15386,16791,c_c011400,2210290005,2,0.0,11;22;27;28;,8.0,0.0,11,22.0,27.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,2.0,1.0,2.0,1.6667,전북 군산시 신창동 18-2,11,126.7113333,3598566331
15387,16792,c_c011404,2210290002,0,5.0,5;1;3;4;7;28;22;,0.0,0.0,5,1.0,3.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,6.0,0.0,0,5.0,4.0,4.0,4.3333,전북 전주시 완산구 고사동 172-1,11,127.1432644,3582087779
15388,16793,c_c011404,2210290004,0,5.0,5;1;3;4;7;28;22;,0.0,0.0,5,1.0,3.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,6.0,0.0,1,3.0,5.0,5.0,4.3333,전북 전주시 완산구 풍남동3가 64-1,7,127.1525571,3581482431
15389,16794,c_c011404,2210290007,0,5.0,5;1;3;4;7;28;22;,0.0,0.0,5,1.0,3.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,6.0,0.0,0,3.0,1.0,1.0,1.6667,전북 전주시 완산구 다가동3가 7-3,11,127.1405531,3581827635
15390,16795,c_c011404,2210290003,0,5.0,5;1;3;4;7;28;22;,0.0,0.0,5,1.0,3.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,6.0,0.0,0,5.0,5.0,5.0,5.0,전북 전주시 덕진구 반월동 848-23,1,127.0541374,3587047684
15391,16796,c_c011404,2210300002,0,5.0,5;1;3;4;7;28;22;,0.0,0.0,5,1.0,3.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,6.0,0.0,0,5.0,5.0,5.0,5.0,전북 진안군 마령면 동촌리 산 18,1,127.4115,3576055047
15392,16797,c_c011404,2210290005,0,5.0,5;1;3;4;7;28;22;,0.0,0.0,5,1.0,3.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,6.0,0.0,0,4.0,3.0,4.0,3.6667,전북 전주시 완산구 남노송동 536-1,11,127.153452,3581984499
15393,16798,c_c011406,2210290003,2,0.0,1;22;26;27;4;,2.0,0.0,1,22.0,26.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,5.0,5.0,5.0,5.0,세종특별자치시 가람동 970,4,127.2510472,3647099639
15394,16799,c_c011412,2210290006,2,0.0,22;4;,7.0,0.0,22,4.0,0.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,5.0,5.0,5.0,5.0,전남 장성군 장성읍 기산리 508-2,1,126.7770423,3530500891
15395,16800,c_c011413,2210310004,0,4.0,2;,0.0,0.0,2,0.0,0.0,2.0,1.0,6.0,6.0,2.0,6.0,1.0,2.0,6.0,1.0,3.0,6.0,0.0,0,1.0,5.0,5.0,3.6667,세종특별자치시 연기면 세종리 114-380,1,127.2734214,3649793779
15396,16801,c_c011413,2210310003,0,4.0,2;,0.0,0.0,2,0.0,0.0,2.0,1.0,6.0,6.0,2.0,6.0,1.0,2.0,6.0,1.0,3.0,6.0,0.0,0,4.0,4.0,4.0,4.0,세종특별자치시 어진동 503,11,127.2589657,3650751148
15397,16802,c_c011413,2210310002,0,4.0,2;,0.0,0.0,2,0.0,0.0,2.0,1.0,6.0,6.0,2.0,6.0,1.0,2.0,6.0,1.0,3.0,6.0,0.0,1,5.0,5.0,5.0,5.0,세종특별자치시 금남면 도남리 2-2,1,127.2350677,3643641616
15398,16803,c_c011414,2211010005,2,0.0,1;2;21;4;,0.0,0.0,1,2.0,21.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0,4.0,5.0,5.0,4.6667,세종특별자치시 새롬동 52,11,127.2561083,3648726957
15399,16804,c_c011414,2211010003,2,0.0,1;2;21;4;,0.0,0.0,1,2.0,21.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1,4.0,5.0,5.0,4.6667,서울 광진구 구의동 199-8,11,127.0952141,3754050924
15400,16805,c_c011419,2210270005,0,4.0,0,0.0,0.0,0,0.0,0.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,7.0,0.0,0,5.0,5.0,5.0,5.0,대전 동구 소제동 299-73,11,127.4369583,3633657261
15401,16806,c_c011419,2210270006,0,4.0,0,0.0,0.0,0,0.0,0.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,7.0,0.0,1,5.0,5.0,5.0,5.0,대전 중구 은행동 153,11,127.4268031,3632751103
15402,16807,c_c011419,2210270007,0,4.0,0,0.0,0.0,0,0.0,0.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,7.0,0.0,0,5.0,5.0,5.0,5.0,대전 서구 만년동 377,3,127.3825617,3636592383
15403,16808,c_c011421,2210310008,0,1.0,12;2;22;3;5;,7.0,0.0,12,2.0,22.0,3.0,9.0,1.0,5.0,6.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,3.0,0,4.0,3.0,4.0,3.6667,전북 전주시 완산구 전동 200-1,2,127.1492215,358133288
15404,16809,c_c011421,2210310003,0,1.0,12;2;22;3;5;,7.0,0.0,12,2.0,22.0,3.0,9.0,1.0,5.0,6.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,3.0,0,5.0,2.0,5.0,4.0,전북 전주시 완산구 풍남동2가 32-5,2,127.1525553,358185375
15405,16810,c_c011421,2210300003,0,1.0,12;2;22;3;5;,7.0,0.0,12,2.0,22.0,3.0,9.0,1.0,5.0,6.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,3.0,0,5.0,5.0,5.0,5.0,전북 전주시 덕진구 인후동1가 915-8,11,127.1645881,3582605616
15406,16811,c_c011421,2210310001,0,1.0,12;2;22;3;5;,7.0,0.0,12,2.0,22.0,3.0,9.0,1.0,5.0,6.0,1.0,3.0,3.0,5.0,6.0,5.0,5.0,3.0,0,5.0,5.0,5.0,5.0,전북 전주시 완산구 풍남동3가 36-3,11,127.152274,3581722202
