,TRAVEL_ID,LOTNO_ADDR,LODGING_TYPE_CD,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SCORE,INCOME,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_STYL_0,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MISSION
14066,c_c008010,충남 아산시 탕정면 매곡리 114-5,0.0,11,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;26;2;1;24;4;5;
14067,c_c008010,충남 천안시 서북구 불당동 1306,0.0,11,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;26;2;1;24;4;5;
14068,c_c008010,충남 아산시 탕정면 명암리 949-1,0.0,7,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;26;2;1;24;4;5;
14069,c_c008010,충남 천안시 서북구 불당동 1715,0.0,11,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;26;2;1;24;4;5;
14070,c_c008010,충남 천안시 동남구 사직동 26,0.0,4,0,5.0,5.0,5.0,5.0,3.97584475505496,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,22;26;2;1;24;4;5;
14071,c_c008021,세종특별자치시 대평동 584-7,0.0,4,0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,5.0,0
14072,c_c008021,충남 부여군 규암면 합정리 172,0.0,4,1,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,5.0,0
14073,c_c008021,충남 부여군 옥산면 안서리 366-33,0.0,11,0,4.0,2.0,2.0,2.6667,4.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,5.0,0
14074,c_c008021,충남 부여군 옥산면 봉산리,0.0,7,0,4.0,3.0,3.0,3.3333,4.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,5.0,0
14075,c_c008031,전북 전주시 덕진구 덕진동1가 1316-2,0.0,1,0,4.0,2.0,3.0,3.0,4.0,2.0,5.0,10.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,6.0,1;3;4;22;25;26;9;
14076,c_c008031,전북 전주시 완산구 서노송동 568-133,0.0,11,0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,10.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,6.0,1;3;4;22;25;26;9;
14077,c_c008031,전북 완주군 소양면 화심리 572-8,0.0,11,0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,10.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,6.0,1;3;4;22;25;26;9;
14078,c_c008037,대전 서구 만년동 396,0.0,1,0,4.0,5.0,4.0,4.3333,2.0,1.0,7.0,8.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,21;22;27;6;7;
14079,c_c008037,대전 중구 은행동 145-1,0.0,11,1,5.0,5.0,5.0,5.0,2.0,1.0,7.0,8.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,21;22;27;6;7;
14080,c_c008037,대전 유성구 봉명동 682-2,0.0,11,0,5.0,4.0,4.0,4.3333,2.0,1.0,7.0,8.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,21;22;27;6;7;
14081,c_c008037,대전 유성구 봉명동 37-2,0.0,7,1,4.0,4.0,4.0,4.0,2.0,1.0,7.0,8.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,21;22;27;6;7;
14082,c_c008037,대전 서구 만년동 396,0.0,3,1,4.0,4.0,4.0,4.0,2.0,1.0,7.0,8.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,6.0,21;22;27;6;7;
